source_image,filename,width,height,readable,mean_pixel,std_pixel,low_intensity_ratio,high_intensity_ratio,status
ohrc_image_03_grayscale,crop_003_x0_y192.png,256,256,True,62.99,43.66,0.164,0.0,Valid
ohrc_image_03_grayscale,crop_004_x192_y192.png,256,256,True,82.29,33.78,0.0291,0.0,Valid
ohrc_image_03_grayscale,crop_005_x256_y192.png,256,256,True,86.51,33.18,0.0242,0.0,Valid
ohrc_image_03_grayscale,crop_006_x0_y256.png,256,256,True,68.38,43.73,0.1491,0.0,Valid
ohrc_image_03_grayscale,crop_007_x192_y256.png,256,256,True,84.71,34.68,0.0267,0.0,Valid
ohrc_image_03_grayscale,crop_008_x256_y256.png,256,256,True,93.43,36.28,0.0241,0.0,Valid
ohrc_image_04_grayscale,crop_000_x0_y0.png,256,256,True,65.8,47.14,0.1177,0.0014,Valid
ohrc_image_04_grayscale,crop_001_x192_y0.png,256,256,True,73.63,50.0,0.1097,0.0011,Valid
ohrc_image_04_grayscale,crop_002_x256_y0.png,256,256,True,77.97,47.73,0.082,0.0005,Valid
ohrc_image_04_grayscale,crop_003_x0_y192.png,256,256,True,62.22,45.65,0.1411,0.0003,Valid
ohrc_image_04_grayscale,crop_004_x192_y192.png,256,256,True,70.17,50.78,0.1454,0.002,Valid
ohrc_image_04_grayscale,crop_005_x256_y192.png,256,256,True,79.61,49.98,0.0959,0.0021,Valid
ohrc_image_04_grayscale,crop_006_x0_y256.png,256,256,True,57.7,45.9,0.181,0.0003,Valid
ohrc_image_04_grayscale,crop_007_x192_y256.png,256,256,True,71.77,52.64,0.1432,0.0032,Valid
ohrc_image_04_grayscale,crop_008_x256_y256.png,256,256,True,82.33,53.85,0.0938,0.0034,Valid
ohrc_image_16_grayscale,crop_000_x0_y0.png,256,256,True,74.84,49.02,0.1329,0.0002,Valid
ohrc_image_16_grayscale,crop_001_x192_y0.png,256,256,True,94.28,46.68,0.0561,0.0011,Valid
ohrc_image_16_grayscale,crop_002_x256_y0.png,256,256,True,99.28,48.61,0.0504,0.0011,Valid
ohrc_image_16_grayscale,crop_003_x0_y192.png,256,256,True,71.15,49.12,0.1453,0.0005,Valid
ohrc_image_16_grayscale,crop_004_x192_y192.png,256,256,True,92.26,45.2,0.0561,0.0017,Valid
ohrc_image_16_grayscale,crop_005_x256_y192.png,256,256,True,97.46,48.99,0.0662,0.0018,Valid
ohrc_image_16_grayscale,crop_006_x0_y256.png,256,256,True,69.22,48.35,0.1537,0.0005,Valid
ohrc_image_16_grayscale,crop_007_x192_y256.png,256,256,True,91.65,46.89,0.0689,0.0016,Valid
ohrc_image_16_grayscale,crop_008_x256_y256.png,256,256,True,94.39,50.69,0.0837,0.0016,Valid
tmc-2-1_large.png_grayscale,crop_000_x0_y0.png,256,256,True,51.22,47.5,0.2109,0.0015,Valid
tmc-2-1_large.png_grayscale,crop_001_x192_y0.png,256,256,True,73.66,50.7,0.1761,0.0016,Valid
tmc-2-1_large.png_grayscale,crop_002_x256_y0.png,256,256,True,80.69,52.22,0.168,0.0011,Valid
tmc-2-1_large.png_grayscale,crop_003_x0_y192.png,256,256,True,74.19,49.1,0.0653,0.0026,Valid
tmc-2-1_large.png_grayscale,crop_004_x192_y192.png,256,256,True,96.62,37.59,0.0001,0.0012,Valid
tmc-2-1_large.png_grayscale,crop_005_x256_y192.png,256,256,True,101.71,35.56,0.0,0.0007,Valid
tmc-2-1_large.png_grayscale,crop_006_x0_y256.png,256,256,True,80.2,49.85,0.069,0.0026,Valid
tmc-2-1_large.png_grayscale,crop_007_x192_y256.png,256,256,True,100.26,39.01,0.0,0.0014,Valid
tmc-2-1_large.png_grayscale,crop_008_x256_y256.png,256,256,True,106.86,38.91,0.0,0.001,Valid
